"dv","iv","subject","item"
562,-0.5,"1",7
790,0.5,"1",21
NA,-0.5,"1",19
251,0.5,"1",17
674,-0.5,"1",23
348,-0.5,"1",15
201,0.5,"1",1
347,0.5,"1",5
1043,-0.5,"1",3
356,0.5,"1",13
451,-0.5,"1",11
335,0.5,"1",9
376,-0.5,"2",14
941,0.5,"2",4
210,-0.5,"2",18
491,-0.5,"2",6
1057,-0.5,"2",22
734,-0.5,"2",10
646,0.5,"2",8
448,0.5,"2",24
181,-0.5,"2",2
244,0.5,"2",20
142,0.5,"2",16
269,0.5,"2",12
465,0.5,"3",11
145,-0.5,"3",21
564,-0.5,"3",9
868,0.5,"3",3
826,-0.5,"3",1
1643,-0.5,"3",13
440,0.5,"3",7
579,-0.5,"3",5
757,0.5,"3",15
409,-0.5,"3",17
1874,0.5,"3",19
1072,0.5,"3",23
334,0.5,"4",14
197,0.5,"4",22
169,0.5,"4",18
166,0.5,"4",6
155,0.5,"4",10
148,-0.5,"4",12
234,-0.5,"4",20
469,-0.5,"4",16
236,0.5,"4",2
135,-0.5,"4",24
344,-0.5,"4",8
605,-0.5,"4",4
169,-0.5,"5",19
918,0.5,"5",21
600,0.5,"5",13
219,0.5,"5",9
734,-0.5,"5",3
161,-0.5,"5",15
256,0.5,"5",5
185,-0.5,"5",7
234,0.5,"5",17
299,0.5,"5",1
537,-0.5,"5",23
410,-0.5,"5",11
213,0.5,"6",12
132,-0.5,"6",14
322,-0.5,"6",22
133,-0.5,"6",2
207,0.5,"6",8
304,0.5,"6",24
98,0.5,"6",16
NA,-0.5,"6",6
433,0.5,"6",4
437,0.5,"6",20
162,-0.5,"6",10
211,-0.5,"6",18
1242,0.5,"7",23
783,-0.5,"7",1
146,-0.5,"7",13
991,0.5,"7",11
NA,-0.5,"7",5
531,0.5,"7",3
368,0.5,"7",19
139,0.5,"7",7
569,0.5,"7",15
223,-0.5,"7",17
357,-0.5,"7",21
167,-0.5,"7",9
245,0.5,"8",2
226,0.5,"8",18
272,0.5,"8",14
219,-0.5,"8",4
283,0.5,"8",6
261,-0.5,"8",12
343,0.5,"8",10
370,-0.5,"8",16
